epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.57,1.29488,2.71095,1.45864,0.25377,0.23949,0.17576,0.06515,2.03547,3.17786,1.86535,0.00332615,0.00332615,0.00332615
2,288.282,1.28595,1.99445,1.43192,0.3294,0.24515,0.20102,0.08581,2.09096,2.50836,1.98984,0.00659355,0.00659355,0.00659355
3,427.822,1.39288,1.88198,1.51716,0.17975,0.25277,0.13924,0.05134,2.23046,2.856,2.25307,0.00979496,0.00979496,0.00979496
4,565.559,1.47267,1.8698,1.59185,0.33062,0.24986,0.15128,0.06375,2.39151,3.09962,2.32912,0.009703,0.009703,0.009703
5,703.807,1.43379,1.73251,1.55864,0.30904,0.23071,0.19207,0.08328,2.24918,2.50924,2.13765,0.009604,0.009604,0.009604
6,842.712,1.37672,1.61499,1.52297,0.38637,0.36218,0.3239,0.13347,2.11266,2.29907,1.99363,0.009505,0.009505,0.009505
7,985.233,1.34067,1.51012,1.48751,0.44313,0.33893,0.32056,0.12564,2.12428,2.44474,1.98515,0.009406,0.009406,0.009406
8,1123.33,1.31476,1.46309,1.46625,0.49849,0.424,0.4353,0.18431,2.11765,2.02126,2.01646,0.009307,0.009307,0.009307
9,1260.75,1.29761,1.40835,1.45402,0.48924,0.4393,0.46905,0.20779,2.02288,1.91029,1.935,0.009208,0.009208,0.009208
10,1397.76,1.26395,1.35821,1.42759,0.59508,0.4332,0.45161,0.21799,1.9024,1.89343,1.84047,0.009109,0.009109,0.009109
11,1536.16,1.24648,1.31798,1.41432,0.57889,0.47009,0.46655,0.21184,1.97308,1.86794,1.84724,0.00901,0.00901,0.00901
12,1673.91,1.23537,1.28222,1.40443,0.51966,0.47729,0.49277,0.2141,2.00635,1.81004,1.88811,0.008911,0.008911,0.008911
13,1810.1,1.231,1.26839,1.41211,0.54913,0.45685,0.48738,0.21955,2.0097,1.86802,1.87915,0.008812,0.008812,0.008812
14,1948.28,1.2156,1.23876,1.38862,0.60141,0.54565,0.55828,0.26505,1.86069,1.69332,1.77737,0.008713,0.008713,0.008713
15,2086.93,1.19062,1.1898,1.36875,0.64211,0.51675,0.55335,0.2576,1.90413,1.72855,1.81916,0.008614,0.008614,0.008614
16,2223.81,1.18501,1.18372,1.36984,0.70401,0.50135,0.56944,0.26328,1.95955,1.7441,1.83859,0.008515,0.008515,0.008515
