subject,condition,angle,seq_start,error,label
067,nm,108,067-nm-03-108-055.png,0.050364,0
114,nm,018,114-nm-04-018-041.png,0.050513,0
049,nm,054,049-nm-02-054-081.png,0.050513,0
031,nm,054,031-nm-02-054-011.png,0.050587,0
094,nm,180,094-nm-06-180-053.png,0.05046,0
016,nm,054,016-nm-02-054-093.png,0.050698,0
053,nm,108,053-nm-06-108-076.png,0.051053,0
005,nm,072,005-nm-05-072-234.png,0.051011,0
049,nm,126,049-nm-05-126-087.png,0.05121,0
055,nm,090,055-nm-03-090-063.png,0.051405,0
061,nm,126,061-nm-05-126-067.png,0.051278,0
107,nm,090,107-nm-04-090-070.png,0.051167,0
012,nm,018,012-nm-05-018-050.png,0.051025,0
047,nm,036,047-nm-03-036-059.png,0.051134,0
049,nm,036,049-nm-04-036-044.png,0.050931,0
007,nm,162,007-nm-02-162-041.png,0.050854,0
038,nm,144,038-nm-04-144-068.png,0.050992,0
073,nm,108,073-nm-06-108-085.png,0.050547,0
001,nm,144,001-nm-02-144-044.png,0.050292,0
111,nm,054,111-nm-05-054-013.png,0.050385,0
057,nm,018,057-nm-03-018-078.png,0.050441,0
096,nm,054,096-nm-01-054-068.png,0.050607,0
093,nm,000,093-nm-06-000-088.png,0.05066,0
062,nm,126,062-nm-06-126-088.png,0.051029,0
084,nm,144,084-nm-02-144-018.png,0.051005,0
078,nm,090,078-nm-06-090-024.png,0.050956,0
062,nm,126,062-nm-04-126-081.png,0.050867,0
096,nm,054,096-nm-02-054-018.png,0.051173,0
034,nm,108,034-nm-04-108-072.png,0.05131,0
041,nm,144,041-nm-03-144-069.png,0.051231,0
092,nm,072,092-nm-03-072-071.png,0.051083,0
110,nm,036,110-nm-05-036-034.png,0.051058,0
034,nm,054,034-nm-01-054-077.png,0.0507,0
105,nm,144,105-nm-01-144-010.png,0.050745,0
124,nm,054,124-nm-04-054-040.png,0.050681,0
032,nm,108,032-nm-06-108-060.png,0.050698,0
106,nm,090,106-nm-02-090-066.png,0.050633,0
027,nm,126,027-nm-01-126-059.png,0.050562,0
097,nm,018,097-nm-01-018-061.png,0.050941,0
029,nm,108,029-nm-01-108-090.png,0.051035,0
031,nm,000,031-nm-04-000-048.png,0.051006,0
083,nm,054,083-nm-01-054-031.png,0.051221,0
117,nm,036,117-nm-01-036-083.png,0.051041,0
041,nm,018,041-nm-04-018-030.png,0.051018,0
090,nm,036,090-nm-05-036-086.png,0.050951,0
