epoch,train_loss,val_loss,error_gap
1,0.037151,0.015571,
2,0.011944,0.009944,
3,0.009105,0.008082,
4,0.007903,0.007532,
5,0.007207,0.007302,-3.5e-05
6,0.006589,0.006094,
7,0.006198,0.006201,
8,0.005871,0.00558,
9,0.005608,0.005501,
10,0.005405,0.005043,-0.000138
11,0.005245,0.004886,
12,0.005051,0.005107,
13,0.004873,0.004722,
14,0.004777,0.004744,
15,0.004695,0.004391,-0.000207
16,0.004498,0.00417,
17,0.004443,0.004112,
18,0.004354,0.004022,
19,0.004301,0.004493,
20,0.004221,0.003999,-0.000213
21,0.004124,0.003813,
22,0.004039,0.003897,
23,0.003983,0.003794,
24,0.003903,0.003836,
25,0.003883,0.003592,-0.000198
26,0.003822,0.003615,
27,0.003757,0.003621,
28,0.003679,0.003606,
29,0.003634,0.00345,
30,0.003592,0.003407,-0.000205
31,0.003541,0.003332,
32,0.003499,0.003324,
33,0.003468,0.003316,
34,0.003434,0.003263,
35,0.003406,0.003231,-0.000211
36,0.003385,0.00327,
37,0.003369,0.003205,
38,0.003354,0.003218,
39,0.003345,0.003205,
40,0.003338,0.003203,-0.0002
