threshold,f1,precision,recall,accuracy
0.0572,0.6674,0.5008,1.0,0.5017
0.0579,0.6711,0.5051,1.0,0.51
0.0586,0.6764,0.5111,1.0,0.5217
0.0593,0.6826,0.5181,1.0,0.535
0.06,0.7018,0.5405,1.0,0.575
0.0607,0.7259,0.572,0.9933,0.625
0.0614,0.7554,0.6133,0.9833,0.6817
0.0621,0.7694,0.6435,0.9567,0.7133
0.0628,0.7746,0.6707,0.9167,0.7333
0.0635,0.787,0.7074,0.8867,0.76
0.0642,0.7919,0.7463,0.8433,0.7783
0.0649,0.789,0.769,0.81,0.7833
0.0656,0.7823,0.7986,0.7667,0.7867
0.0663,0.7504,0.8132,0.6967,0.7683
0.067,0.7178,0.817,0.64,0.7483
0.0677,0.6853,0.8515,0.5733,0.7367
0.0684,0.6542,0.8634,0.5267,0.7217
0.0691,0.6004,0.8528,0.4633,0.6917
0.0697,0.5475,0.8521,0.4033,0.6667
0.0704,0.5152,0.8661,0.3667,0.655
0.0711,0.4903,0.9018,0.3367,0.65
0.0718,0.455,0.91,0.3033,0.6367
0.0725,0.4031,0.8966,0.26,0.615
0.0732,0.378,0.8889,0.24,0.605
0.0739,0.352,0.88,0.22,0.595
0.0746,0.3342,0.8732,0.2067,0.5883
0.0753,0.3068,0.8615,0.1867,0.5783
0.076,0.2793,0.8621,0.1667,0.57
0.0767,0.2606,0.8679,0.1533,0.565
0.0774,0.2414,0.875,0.14,0.56
0.0781,0.2176,0.925,0.1233,0.5567
0.0788,0.1862,0.9394,0.1033,0.5483
0.0795,0.1477,0.96,0.08,0.5383
0.0802,0.1191,1.0,0.0633,0.5317
0.0809,0.0952,1.0,0.05,0.525
0.0816,0.0952,1.0,0.05,0.525
0.0823,0.0707,1.0,0.0367,0.5183
0.083,0.0583,1.0,0.03,0.515
0.0837,0.0519,1.0,0.0267,0.5133
0.0844,0.0519,1.0,0.0267,0.5133
0.0851,0.0392,1.0,0.02,0.51
0.0857,0.0132,1.0,0.0067,0.5033
0.0864,0.0132,1.0,0.0067,0.5033
0.0871,0.0132,1.0,0.0067,0.5033
0.0878,0.0132,1.0,0.0067,0.5033
0.0885,0.0132,1.0,0.0067,0.5033
0.0892,0.0132,1.0,0.0067,0.5033
0.0899,0.0066,1.0,0.0033,0.5017
0.0906,0.0,0.0,0.0,0.5
