threshold,precision,recall,f1,accuracy,tp,tn,fp,fn
0.38,0.4444,1.0,0.6154,0.4444,4000,0,5000,0
0.39,0.4444,1.0,0.6154,0.4444,4000,0,5000,0
0.4,0.4444,1.0,0.6154,0.4444,4000,0,5000,0
0.41,0.4444,1.0,0.6154,0.4444,4000,0,5000,0
0.42,0.3934,0.8057,0.5287,0.3614,3223,30,4970,777
0.43,0.2985,0.2845,0.2913,0.3848,1138,2325,2675,2862
0.44,0.9784,0.2495,0.3976,0.664,998,4978,22,3002
0.4521,1.0,0.248,0.3974,0.6658,992,5000,0,3008
0.46,1.0,0.209,0.3457,0.6484,836,5000,0,3164
0.47,1.0,0.0457,0.0875,0.5759,183,5000,0,3817
0.48,1.0,0.0002,0.0005,0.5557,1,5000,0,3999
0.49,0.0,0.0,0.0,0.5556,0,5000,0,4000
0.5,0.0,0.0,0.0,0.5556,0,5000,0,4000
