epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.849,1.64534,2.14573,1.83569,0.17729,0.16632,0.11026,0.04055,2.51088,3.48679,2.62216,0.000332615,0.000332615,0.0670711
2,333.014,1.63102,1.97415,1.82967,0.42039,0.27518,0.25307,0.0949,2.33176,2.82745,2.22751,0.000659355,0.000659355,0.0340645
3,512.932,1.60172,1.92241,1.80268,0.43126,0.35349,0.30425,0.11498,2.38574,2.54466,2.33547,0.000979496,0.000979496,0.00105133
4,681.132,1.53893,1.81358,1.75696,0.35681,0.37884,0.30103,0.10441,2.29623,2.38435,2.18819,0.0009703,0.0009703,0.0009703
5,854.585,1.49052,1.71914,1.71082,0.49524,0.37068,0.38342,0.16491,2.15685,2.04979,2.05029,0.0009604,0.0009604,0.0009604
6,1027.21,1.45959,1.63602,1.67509,0.52035,0.41072,0.43431,0.18342,2.12103,1.92305,2.00092,0.0009505,0.0009505,0.0009505
7,1199.05,1.44916,1.5867,1.65905,0.58018,0.47419,0.49434,0.20809,2.13433,1.84026,2.00929,0.0009406,0.0009406,0.0009406
8,1371.95,1.4208,1.5381,1.63226,0.52206,0.50134,0.48607,0.20862,2.01334,1.74821,1.95759,0.0009307,0.0009307,0.0009307
9,1544.62,1.38896,1.47115,1.61074,0.64764,0.4814,0.53085,0.20966,2.11761,1.68257,2.03886,0.0009208,0.0009208,0.0009208
10,1713.01,1.36122,1.42266,1.59243,0.61647,0.47711,0.5441,0.23523,2.0632,1.7289,1.98089,0.0009109,0.0009109,0.0009109
11,1882.05,1.36668,1.40309,1.58007,0.68919,0.52703,0.55886,0.24676,2.01607,1.69574,1.94085,0.000901,0.000901,0.000901
12,2052.76,1.34587,1.37492,1.58036,0.69746,0.49422,0.56972,0.24814,2.00683,1.65748,1.9047,0.0008911,0.0008911,0.0008911
13,2222.79,1.32735,1.34455,1.5478,0.63587,0.58066,0.62515,0.28386,1.96215,1.61455,1.86034,0.0008812,0.0008812,0.0008812
